How's the sound quality and everything	音质什么的怎么样
I'm just happy to have played with both in my career already	我很高兴在我的职业生涯和两个人都合作过
So are you still in touch with your old Liquid teammates	你和之前Liquid的队友们还保持联系吗
Yeah, I still, whenever I see them at events, I usually talk to them. During Blast, I talked to EliGE a decent amount. We're still a good friends	是的 在赛事看到他们时我一般都会去聊天 在BLAST的时候 我跟EliGE聊了很多 我们仍然是好朋友
I still probably talk to nitr0 the most. Even when he was in Valorant, we’d still like chat or try to play games. It's nice to have that relationship that carries on past the past your era as teammates	Nitr0估计仍然是我联系最多的那一个 即便当他在打瓦罗兰特的时候 我们仍然一起聊天 打游戏什么的 这种关系在不做队友了之后还能持续就非常好
Cause I feel like when you accomplish so much together and then you don't talk afterwards it’s kinda sad, like did you really build anything up from that history	因为如果你们一起成就了那么多 之后却不联系 就很悲哀 这段时间里你们到底建立了什么 
But who knows? Maybe one day I’ll get to play with them again in a competitive environment	谁知道呢 也许有一天我能又能跟他们一起竞技
What are your thoughts on nitr0 coming back to CS? And do you think that there's a resurgence to NACS	你对nitr0回归CS怎么看 你觉得NACS在复兴吗
I think I'm pretty happy that he's coming back and that he left Valorant. And I think he's kind of making other players that left cs for Valorant reconsider their option to	我很高兴他能回来 离开瓦罗兰特 我觉得这让一些离开CS去瓦的选手重新考虑他们的选择
and probably starting to think that maybe going back to cs is like the better play given all the LANs that will happen next year	去想也许回归cs是更好的选择 因为明年会有很多线下赛
If that happens, I can definitely see a resurgence in NACS. But until more players come back, like autimatic and stuff, I think it will be hard for NA to rebuild fully	如果这样的话我觉得NACS肯定能复兴 不过直到autimatic等等选手回归之前 NA想完全重建会比较困难
But as of right now, I think the rumored Liquid team looks pretty strong. And I’m happy that the NA scene and will have like a staple team to look forward to again	现在的话 传言的Liquid阵容感觉挺强的 我很高兴NA能又有一支值得期待的旗舰队伍
So you recently switched to the g pro wireless. What are your thoughts on it	你最近开始用GPW2 感想是什么
Yeah, obviously I’m Steelseries ambassador, so I work with them closely on their products. I was just having some small issues, the mouse I was using. And obviously I’ve relayed the feedback to them and stuff	我是赛睿大使 我与他们紧密合作设计产品 之前我用的赛睿鼠标有些小问题 我都反馈给他们了
And we're working on making a better product. But in terms of the other mice that I switched to, I think they're very well and it's nice for me to get to use them too	我们在合作研发更好的产品 我使用的其他鼠标都很不错 有机会用它们也很好
Because then when I go back I could help Steelseries create a better product. That’s because I have the experience of using the newer mice that have come out. I have nothing negative to say about the recent mice I've used	因为当我回归赛睿鼠标时我就能帮助赛睿研制更好的产品 以我使用其他更新的鼠标产品的经验 我对最近用的其他鼠标都没什么意见
So Mr. Director, who is the player that you look up to the most	总监先生你最敬仰的选手是谁
It’s hard to say, but right now I feel like I don't really have a player that I look up to anymore because I feel like I’m past that point, whereas before, I could look up the players like f0rest and stuf	很难说 现在我并没有一个敬仰的选手 我感觉我已经过了那个阶段了 之前我能敬仰f0rest这样的选手
You know the legends at the time, like Olof back in 2015, but I feel like I’m far past that point where I don't have to look up the players anymore. I want to make players look up to me. That's kind of the goal now	当时的传奇选手们 比如15年的Olof 不过我觉得我早就过了那个阶段了 我不需要敬仰其他选手 我想让选手们敬仰我 这就是我现在的目标
So what do you see yourself becoming? Where do you think that you're gonna go eventually	那你觉得你自己会成为什么样的选手 能达到什么样的高度
I feel like on the current trajectory for me, as long as I’m still working as hard as I did the entire year, and once we stabilize a bit on our current roster, then I’ll start to feel way more consistent	我觉得对于我目前的轨迹来说 只要我能保持今年一整年这样努力训练 我们的阵容一旦稳定下来 我也会感觉稳定很多
As of right now, I feel like I’m a pretty consistent player, especially on LAN, and it's all about our team getting better because that's when stars can really shine	目前我觉得我是一个发挥比较稳定的选手 尤其是在线下赛 很重要的是我们全队都能提高 这样明星选手才能真正的发光发热
If you look at NAVI right now, s1mple is putting up insane performances, but that's because he has a way stable team	你看NAVI现在 s1mple有着逆天的发挥 这是因为他的队伍很稳定
He can consistently do that now because of how stable his team is -And doesn't have to worry about anything else, just go out and fra	他这样发挥得益于他队伍的稳定 -他不需要管其他的 就去拿人头就好了
Yeah, exactly. There's always a game plan and he trusts his teammates, whereas back in the past, he didn't really trust his teammates anymore	没错 他们总是有制胜战术 他相信队友 而之前他就没有很相信队友
And I think that goes for like every team that had an era. They had really good cohesion. If you look at Astralis, device was shining and players were shining because they believed in the system and that teamwork was good	我觉得每一个有过王朝/时代的队伍都是这样 他们很有凝聚力 你看Astralis那时候 device发光发热 其他队员也是 因为他们相信自己的体系 配合也很好
And it's no different for us like in 2019 Liquid, when we had three players in the top ten. And that's just because of our teamwork. And we have full belief in the system	我们2019年的Liquid也是这样 我们有3名选手在top 10 这得益于我们的团队配合 还有我们完全信任我们的体系
So we just need to find that in Faze and stabilize and find consistency	所以我们要找到Faze的体系 稳住 然后寻求稳定的发挥
Yeah, I think it stems from Faze’s 2018 lineup where just everybody was a superstar. So everybody was like a galactic player	是来自于Faze 2018年的阵容 每名选手都是超级巨星 每个人都是宇宙级别的选手
But that name just carried through and now we still call you guys that and Faze is just so popular in China	然后那个名字就一直沿用下来 我们现在仍然叫Faze银河战舰 Faze在中国人气简直太高了
And so is everybody, and you, and it’s just so crazy man. And hopefully when covid dies down and there will be matches in China, you guys can come here. That would be really cool	每名选手都是 还有你 简直太疯狂了 希望疫情结束后中国能有线下赛 然后你们能过来 这样就太好了
That's really awesome to hear. There’s supposed to be an event in China, Funspark, -yeah IEM Winter, Funspark too. IEM Winter is a year from now. Hopefully everything's gonna get taken care of	能听到这个很高兴 Funspark应该会在中国 -对 IEM Winter 还有Funspark IEM Winter 还有一年的时间 希望到时候一切都会解决
Yeah I just wish there's like more freedom to Esports players. We could just like travel wherever and be let in despite the restrictions	是的 我希望电竞选手能有更多的出行自由 还能去各地比赛
Have you played against any of the TYLOO players right now	你和天禄现在的队员们交手过吗
We played against two teams in practice. We scrimmed twice against TYLOO, I think before Blast	我们和两支队伍打过训练赛 Blast之前和天禄打过两次训练赛
And then we also played against Lynn Vision, when they were first here for Blast Showdown. Both teams have players that can shoot really hard, 	还有LVG 他们来打Blast Showdown的时候 两个队都有枪法非常硬的队员
and you have the bomb on the awper, and then you have the lurker, say like, three players are like attacking A, then you have one player at b trying to go find the one player holding the sit	狙击手带包 然后你有自由人 比如说3个人打A 然后b有一个人试着打掉那个独自守包点的人
and if he gets that kill, then you just go back to the site where you got the kill. That's like the current meta right now and feel like it's hard for the Asian teams and the NA teams come over and have to play against it	如果打掉了 你们就回去那个包点 目前的常规打法就是这样 我觉得亚洲和北美队伍过来打会比较困难
Hopefully they can stay in Europe. They can bootcamp in Europe and then get better	希望他们能留在欧洲 在欧洲训练营然后提高
I think they're still here, right? -I think so. -I don't think they left. That's good	他们现在还在欧洲对吧 -我觉得是的 -他们应该还没走 那很好
It's good. They finished the matches, but they can always play more scrims	很好 他们比赛都打完了 但是训练赛可以一直打下去
Yeah, exactly. As long as there's an event going on, there's always gonna be scrims to find	是的 没错 只要有赛事的话 就能找到训练赛
I know you're very busy guy. I know that even though right now you're on a break. Our very last segment, just let me read some messages that some of your diehard fans want to send to you. Is that okay? -oka	我知道你非常忙 虽然现在在休假 我们最后的环节 我给你读一些你铁粉想对你说的话 可以吗 -可以
So Mr. Director, I’ve been a fan of you for 2 or 3 years. I'm already working, but whenever you play a match I would stay up and watch it	总监 我粉你两三年了 我已经工作了 但是只要你有比赛我就会熬夜看比赛
And there's a lot of hardship in life, but when I watch you, it’s not that hard anymore. So hopefully you can just keep fragging and we're always gonna support you	现在生活很难 但我只要看你比赛 一切就没有那么难了 所以希望你能接着大杀四方 我们会一直支持你
That's really wholesome, that message, staying up to watch the games	这太暖心了 这条信息 熬夜看比赛
So Mr. Director, please make sure that you get a lot of rest every day, just make sure that you take care of your body, your health, because health is the number 1 thing	总监 每天一定要好好休息 照顾好自己的身体 健康是第一位的
Nice. I support that one a lot. That's a good message	我十分同意 这很好
So Mr. Director, although NAVI is number one right now, we still support you guys fully, everybody on your team. And do you think that a major championship is on the cards	总监 虽然NAVI现在是第一 但我们还是完全支持你们 你们的每一个人 你觉得能拿Major冠军吗
For next year? I definitely think that Faze will be able to win events. And the goal is, at least a personal goal is to win an event in the first 4 months of next year	明年吗 我觉得Faze一定能去赢赛事 目标是 起码我个人的目标 是明年前4个月赢下一个赛事
And then, yeah, either if that's a Major, or if it's some small events, it still counts as a win in my heart. And I think a Major win is on the cards. Sure	不管是Major还是小一点的赛事 对于我来说都是胜利 我觉得Major冠军一定在计划内
This one's really heavy. So Mr. Director, you are my favorite player. And I used to be someone like you who didn't have a lot of confidence	这条挺沉重的 总监 你是我最喜欢的选手 我之前也像你一样
I tried to find meaning of life in video games. After I found you, I felt like you were someone that I just knew across the ocean. We have so many similarities	我试着在游戏中找到生活的意义 在我找到你之后 我感觉虽然你在大洋彼岸 但是我认识你很久了 我们有很多的共同点
I like how you're so shy, but you like to laugh a lot. But I’m so glad to see that you're able to find a team that you can call home. And I’m always gonna support you. Wow	我喜欢你很腼腆但又很喜欢笑 我特别高兴你能找到一个像家一样的队伍 我会一直支持你的 哇
That's a really deep message	这条很沉重
Because you’ve come such a long way, I know that there's a documentary on you on Youtube. I know that you've come such a long way	因为你经历了太多太多 我知道油管上有一个关于你的纪录片
5 years ago, I would never predict that I'm playing for Faze Clan in an international team, living in Europe. I could have never predicted that 	5年前我不可能想得到我会为国际纵队Faze效力 在欧洲生活 我不可能预料得到
I couldn't predict the 2019 Liquid era, but looking back you kno	现在回头看看 我也没法预料2019年Liquid王朝
But you were able to find so much personal growth along the way like you were able to mature so much as a person	你在这过程中获得了大量个人成长 也成熟了很多
Yeah, I think that comes from the work though, I guess. Because when you're traveling, you're constantly in different cultures, and you have to find a certain level of independence where you can function	是的 我觉得这是因为我的工作性质 当你一直出行在不同文化中 你需要找到一种独立才能
You create a routine for yourself that works. But I feel like my maturing was helped by my ex-teammates and by my current teammates	为自己建立一套有效的日常计划 我觉得我之前和现在的队友们都帮助了我的成长
And I feel like I'm always trying to work every day to grow into a better person than I was yesterday	我觉得我每天都在努力成为比昨天更好的人
Russ, I said this to f0rest when I interviewed him a few months ago, and I think what I said to him more than applies to you	Russ 我前几个月采访f0rest的时候对他说过一些话 我觉得这些话也完全适用你
I think players like you don't even know how many people you've touched, how many people you've inspired around the world	你可能都不知道你在全世界究竟鼓舞了 激励了多少人
I'm sure that there's many Brazilian kids, Indian players that you've inspired, but there's so many of these Chinese fans of mine and of yours	你肯定也激励了很多比如巴西的孩子们 印度的选手们 但你有这么多的中国粉丝
I see them every day and they come up to me. They say to me Twistzz is such an inspiration, we love Twistzz	我每天能看到他们 他们跟我说Twistzz激励了他们 很喜欢Twistz	
But yeah. I just hope that you can know that in your heart that you've inspired millions of people to get better at the game, to improve as a person to find confidence, all these things	我就是希望你心里能知道 你激励了成千上万的人 去提高游戏水平 去做一个更好的人 去找到自信心 等等等等
That's a very needed reminder, because the players are so focused on keeping their team up, keeping themselves up and working. They forget. There's a whole another level going on behind the scenes	我很需要这样的提醒 选手们太专注于努力保持队伍的竞技水平 自身的竞技水平 他们会忘了在幕后还有更深的意义
and in the world where they're inspiring people. And it's nice for you to remind me that's going on	他们激励了这世界很多人 你能提醒我这件事就很好
I read messages on my Instagram, message requests, and I guess I see a couple, but I don't really think about how much there really is, how it builds up over time, I lose track of how many	我在Ins上会看留言 我能看到一些 但我并没有想过到底积累了多少人 
And yeah, it's like I said, it's humbling	是的 就像我说的 我受宠若惊
Players like you, you grew up in adversity, there's a lot of hardship, but then you were able to find yourself. And I just think there's so much to be inspired about that. -thank yo	像你这样的选手 你在逆境和困难中成长 然后你找到了自己 我觉得这太激励人了 -谢谢你
We're just so glad that you are what you are right now	我们非常欣慰你成为了现在的样子
Thank you. I'm happy to be here. I'm happy to be getting interviewed by you man	谢谢你 我很高兴能在这里 很高兴你能采访我兄弟
So one last message, Mr. Director, I used to watch every single match that you play, but now school is very hard, so I only watch your highlights,	最后一条留言 总监 我之前会看你的每一场比赛 但现在课业很重 所以我只能看你的集锦了
but I really really like you and I feel so bad when you lose. And I just hope that you can be happy forever	但我非常非常喜欢你 你输的时候我好难过 我希望你能一直开心下去
That's a really kind message. It's already crazy to hear that people are trying to never miss a match. They're always trying to keep up	很善良的一条留言 我总是觉得很难以置信 粉丝们能一场不落地看比赛
For sure like it goes for most pro players too, but it's a very wholesome feeling to know that the fans are always trying to be there every step of the way to support. And every player needs that -Awesome	我相信大多数职业选手都这么想 是个很暖心的感觉 粉丝们无时无刻的支持 每个选手都需要这个 -太棒了
Yeah there’s a lot going on. -So much love man, so much love man. -It's, very special dude. Thank you guys	哇 太多了 -有很多的爱 很多的爱 -真太特别了 谢谢你们
Just know that there's hundreds of thousands, millions of people here rooting for you, watching your matches, keeping up with you	希望你知道在这里有成千上万的人支持你 看你的比赛 追随你
Can you make a heart for your fans? -make a heart? Try to make a better one here	你能给粉丝们比个心吗 -比个心吗 我试着比个更好的
Thank you, guys -That's so cool	谢谢你们 -太酷了
Thank you guys. I'm Zong Jian. -Thank you so much, man. -No worries. Thank you. -All right man. See you. -Bye. Thank you for the interview. -take it easy man	谢谢你们 我是总监 -非常感谢你 -没问题 也谢谢你 -好的 再见 -再见 谢谢你的采访
