Hello - Hey, Finn, how are you? -Good. Can you hear me	你好 -hey 表哥，怎样啊 -不错啊，能听见吗
so my dream was to win a major for five, six years. Once I win that, then suddenly, I have nothing to wake up to. So I put something above me that would only be like… the community to decide how my career was, I would decide how I feel about my career	所以我想要赢下MAJOR的梦想已经有五六年了。一旦我赢得了它，或许一时之间我也失去了早起努力的目标。所以我指定了一个远超于自己的目标 社区会来评判我的职业生涯怎么样 我会来评判我的生涯怎么样
So all these steps, and there’s obviously a major missing for me to reach that step. Right. That's just part of the journey to where I want to be	所以所有的这些步骤，显然我还缺少一个Major。这就是这趟旅程我最想去到的地方
And I think as a young player, you want to be one of the best players in the world, right? Well, you have steps now. You have to get into the competitive scene. And by doing these steps, I think you can bring that on all your lif	所以我觉得作为年轻选手，你想成为全天下最强的选手。那你现在就有步骤了。你必须要进入这个竞技圈，然后通过完成这些步骤，我觉得你可以受益终生。
Once you get a new work, you work somewhere you want to be the boss of this company. Okay how do I get there? Okay, I have to become a really great worker and never being sick stuff like that, you know	一旦你开始做一份新的工作，你想成为这个公司的老板，那应该如何实现呢？你知道的，我就必须要成为一个好的员工并且永远不要请病假之类的。
And I think you can apply that to everything in life, like you have a dream, and you just have to make sure to put them in steps. Plus, if this is your dream, and you don't have anything that push you closer to that dream, I have that feeling of self-reflection	并且我觉得你可以把这个方式应用到生活中的所有事情，好比你有一个梦想你就是得把它分步完成。此外，如果这个确实是你的梦想，而你没有去做任何让你离梦想更近的事情，就不行，我一直在自我反省
Okay, I did the first step, but it took me half a year to get to a good team. Okay, how do I become top 4 in (?) ranking, okay, that might take two years to get there. But it's still a step in the direction you want to go	好的 我完成了第一步，我花了半年时间来到好队伍。那么我要怎么样成为世界前四呢？可能我需要两年的时间走到那里，但你的方向上永远有一个目标指引着你前进。
And I think that applies to everything in life, basically. And I think that's what young players have to be really aware about	我觉得这是基本上可以应用到生活当中的每一件事的，并且这应该是年轻选手应当知道的东西。
And I think I also see that they have like a dream, they know how to achieve it. They have a working schedule, how to work before the practice starts, after practice	我觉得我也确实看到了一些年轻选手有梦想，他们知道怎么实现它。他们有个工作日程，在练习开始之前，练习结束之后要怎么工作。
And I'm even to this day on applying stuff like that. What do I want to improve on? Okay my movement is not good the last three months, okay, next month, I just surf and I jump around the server lot, one hour every day, right	我甚至直到今天都还是这样安排事情的。我有什么可以改进？我的身法过去三个月不是很棒，那下一个月呢我就着重滑翔 在服务器里多跳跳
Okay, that should be improved. How much? We don't know. But it's a step in the right direction. So yeah, work ethic is key to success in all life, I think	这样一来就能有长进了 能长进多少呢 我也不知道。但这就是正确方向上的一小步，所以工作态度是人生中所有事情能成功的关键。
So set a goal, plan it out, just plan all the different steps and you just start taking them every single day. I think that's something that can be used, anything you d	所以设定目标，作出规划，把计划分成不同的步骤然后每天去完成。我觉得这可以适用于任何事情
Yeah, everything in life. Like if you want to become a big brand of interviewer, okay, you start with small officials, then you sit here with me now, you know, okay, what's next? You don't know where you end, but you also have an idea what your dream is? Right	是的，生活中的所有事。就好像你想成为一个大牌的采访者，那你就得从小比赛采访做起，然后现在你就坐在这采访我了。但接下来呢？你也不知道最后会怎么样，但你大概知道你的梦想是什么样的 对不对
And I think that applies to anyone in any business, any life. And the same in university, right? Do you want to be the best in the class? Okay, how to become the best in the class? Or do I want to be average and pursue another dream next to my university right	我认为这同样适用于任何人任何工作任何人生。大学也是同理。你想成为班上成绩最好的那个吗？那怎么样成为最好呢？或者我只想拿一般的成绩 然后一边大上学一边去追求其他梦想？
as long as you believe in yourself is there. It doesn't matter where this is. It’s gonna take you to a good place in lif	只要你依然相信你自己。不管你在哪里 它都会把你带到一个好的处境
So for young players that are very motivated to get better, what are some things that they should focus on improving every day	那些励志磨砺自己的年轻选手，他们每天需要着重提高什么呢
I think it depends on what player you are. Are you an awper, are you an in-game leader? There’re different roles, right	我觉得这取决于你是什么样的选手，你是狙位吗，是指挥位吗，有很多不同的角色吗毕竟
So, again, put down on paper, if you look at demo of a pro player. Okay, how does he move? How does he understand the game	不过话说回来，讲讲实际的，如果你看一个职业哥的demo，你看他如何行动，怎么去解读游戏
And I think the best way I have learned in my situation, my role is like, understanding why a person did a call in a round	对我来说我最好的学习方式，就是去理解为什么一个人在这一局做了这样的指挥
So I will look at a demo and I’ll understand, why did he do that? There must be a communication, I'll try to guess like, what made that movement? Or that suggestion? Why would he make that call	所以我看demo，我就会思考去理解，为什么他会做这个决策？肯定是和队友有交流的，我会试着去猜想，是什么让他去指挥全队转移了 因为什么征兆 他为什么会做这样的布置？
And very analytical about that, but also self-reflective, that has been my key part. I know when I’ve played a bad game. I don't need to watch it. I know what went wrong in the game	不仅要善于分析，也要多多反思，这是我一直依仗的重要细节。我很清楚一局发挥失常的游戏是怎么样的，我不需要多加回看，我清楚的知道是哪里出了问题
And I think that's what young players need to do. Like they have to grind their way to the top. It's a long road, everybody knows that, right? But you have to keep improving, and not just play to play	我觉得年轻的选手也应该这么做。他们必须狠狠磨砺自己才能成为top。这毕竟是一场漫长的征程嘛，但你必须要一直在提高才行，不能为了玩而玩
I think that's the biggest issues between tier4 to tier2. Tier4 we'll just meet on a practice just to play and chill and have fun	我认为这是4线到2线之间的选手最大的问题。在4线我们就是训练碰个头大家玩玩找乐子那种。
But at some point, fun is a key component (?), but you need the steps before that. You have to understand what you need to improve on	但是同样的，乐趣也是个很重要的部分。但你得跳出舒适区，你要意识到你哪里需要提高
Because if you're the best in your team, well, then you need to join another team. You have to keep coming to a higher level of CS right	因为你如果是队伍里的最强的那个，那你就需要去加入其他的队伍。你要一直提升你参加CS比赛的级别
And I think where most players go off, they want to have fun by playing video games. The second they get competitive, and you lose and you lose and you lose. That's where it’s not fun anymore, right	而且我觉得大多数激情是怎么被磨灭的，他们一开始就是想通过游戏找乐子，然后一开始打比赛的指挥，就输了又输输了又输，然后这游戏就没意思了
But you still have to figure out a way to improve. So for me it's self-reflective, and be analytical about stuff you want to learn and understand the meaning on why people play this position, why they throw this flashban	但你还是要努力摸索出一条提高的途径。我的话就是通过不断地反思，审视自己的学习成果从而理解为什么对方打这个位置，为什么要扔这个闪
there's a lot of key element you can watch in a demo, but also watching yourself is always the best way to improve	一场demo里能看见的许多有价值的信息，同时回过头来看你自己视角也一直是最有效的提高方式
Thank you for that. Do you have any advices for TyLoo or any Asian teams at the moment	感谢，那你现在有什么对天禄或者其他亚洲队伍的建议吗
The situation we are in the world today, and probably also the next year, who knows? What I always admire a lot about the Brazilians was the sacrifice of moving to Europe and living there	我们目前所处的局势很可能会延续到下一年 谁知道呢 我一直很敬佩那些巴西选手就是他们愿意牺牲很多来到欧洲训练生活
Sacrifice time with family, girlfriends, whatever, you know, they put their heart and soul into the game	牺牲了和家人，女朋友在一起的时间，他们是真的把全身心都放在了游戏中
And I wish some of the (Asian) teams would actually fully commit to living in Europe because that's where the level is the highest and if I was a TyLoo player I will tell myself, okay I have a two year contract	所以我也希望能有亚洲队下决心来欧洲驻扎集训，因为那里的竞技水平是世界头一档。如果我是一个天禄队员，我会想，我有个两年的合约
I want to live two years in Europe and invest everything. Family, everything else has to wait. They can come visit me, but I cannot visit them. I need to be here for two years	这两年我就要驻扎在欧洲，倾其所有，无论是家庭还是什么都要靠边站。他们能来看我，但我不能去看他们身上。我要在这里用这两年全力以赴。
Where am I in two years? Am I further? Am I further back? Am I going close to the top? And I think that's where Asian CS has to sacrifice a lot more	在这两年中，每天三省吾身，有无进步，有无退步，有更接近顶级水平吗。所以我觉得在这方面亚洲队伍可能需要牺牲得更多
Plus the practice you guys have, like when you're the best team in Asia, you're not going to learn anything. Once you come to Europe for three weeks boot camp, you probably get smashed the first week because everything is so different	还有就是你们的练习赛，当你是亚洲最好的队伍时，在亚洲打训练赛就不会学到任何东西。一旦你们来到欧洲花个3周集训，你们大概率第一周就会被暴打因为一切完全不同了。
So I think definitely sacrifice, move to Europe, even though maybe the salary is not the highest. Just do it because it's your passion and go back home if it's not the work, the life you want	所以我觉得，要大胆付出，远赴欧洲，尽管可能薪水一般。但是要放开手去试一试，因为这是你的热爱，如果觉得这不是你想要的工作和生活，就回家
Every other comment is asking this and just I have to ask you. So ropz to Faze, is there any ground to it? Anything you can confirm at the moment	大家都在问这个问题，我必须得问你了，ropz转会faze，有眉目了吗？目前为止有什么可靠消息吗？
I mean, me and ropz are good friends, right? But it's his decision where he wants to go. So at this point, I cannot tell anything where he wants to go. We all know ropz has a lot of offers	我和ropz是好朋友。他想去哪这个决定得由他来做，所以目前，对于他的去向我实在无可奉告。我们都知道他是个抢手货。
So it's his own decision where he feels he can win the most trophies. If he gives me a call and says, hey, I'm interested, then I have to figure out what makes sense for us, right	所以这完全取决于他，看他觉得哪里能让他拿更多奖杯。如果他给我打个电话，说嘿，我觉得Faze不错，那到时候我就要去想怎么变动是最好的
I've said multiple times right now we’re a stable top 10 team. It's not good enough. But the last six months, we have been a top 10 team. And I'm not sure what we're missing, where we can push a little mor	我说了很多遍，我们是个稳定的前10名队伍。这还远不够好，但是这过去的6个月以来，我们一直都是前10，但是具体我们还有什么缺陷，哪里还能突破一下极限，这个我还不好说。
For me, broky is a very unique player. He's like, kind of a mix of woxic, with more passive player. Sometimes he’s very, super aggressive, repeeks a lot. Sometimes he's passive	要我看，broky是个很有独特的选手，他融合了woxic的打法和更保守一些的打法。有时极具侵略性，多次反拉。有时就很保守求稳。
And I like that. I think I've tried to push him in a better direction to be more stable. I think one of the issues he has, he was not always super consistent	我很欣赏这点，我觉得我一直在努力让他往更稳健平衡的方向发展。我觉得他有一点得注意就是他之前不是特别稳定
And I think we've seen a consistent level from him now, having a system environment around him how he wants to move. He has a lot of freedom	我现在看他的发挥感觉已经比较稳定了，有一个体系配合着他行动出击，他现在有了不少空间。
I think the strengths he has, he's so fast. Like he's really, really fast and really consistent fast. So I think that's a strength. Mental, I think he’s also getting the experience	我认为他的优势在于他的枪太快了，他这个枪可是非常非常快啊，又快又稳。所以我认为这是一个优势。从心态上，我觉得他也在愈加成熟。
And I think the thing we need to learn is experience, you know, in the high pressure games, and is to stay calm. But that comes with time	我一直觉得经验这种都是是不可或缺的，你懂吗？且要在高压中保持冷静的心态，这些东西都是急不得的。
He's around very experienced coach and in-game leader, and I hope that gives him more and more (?) tournament to play, right	他周围有经验丰富的教练和指挥，我是很希望能让他在这种环境里在更多的大赛中磨砺的。
And yeah, Russell, crispy, mechanics is really good. Communication is really good. But he also has to find what role he is	说到总监，干脆的枪法，个人技术非常好，交流也很顺畅，但他也需要找到属于他的那个角色。
That's one of the things like when I look at the player he is, he can do everything, but then not everything	我观察后在他身上发现，你看他几乎能做所有事，但又做不了所有事
so we're trying to switch around and I think since I came I've given every freedom, every position he wants to perform and I think he's done that as well	所以我们正在尝试把他换到各种位置去，而且自从我来以后我给了他所有的自由度，他想发挥的位置都能满足 他也发挥得很好
So great overall player and happy to have these youngsters with me. And I think they showed a really stable individual level so far and this year, and I think it's gonna get even better next year. I cannot see them drop off because I don't believe they’ve hit their peak yet	总得来说是个非常优秀的选手，也很高兴能有这些年轻人一起在身边。在这一整年中他们展现了很稳定出彩的个人实力，我相信明年将会更出色。我不认为他们的实力会下降，因为我不相信他们已经到达了巅峰
Yeah, he's just super locked in, super motivated -Yeah and that’s thing about him. He works really hard as well, Twistzz. And he’s happy under my leadership, we have a really good working relationship, me and him	对啊，他是真的好专注，动力十足。 -对啊，他就是这样一个人，同时他也十分努力，总监他也很高兴能由我领导。我们两人之间的工作关系很棒。
So everything makes sense you know, I can come to him and say stuff I want him to improve on and he will just work on it instantly. I think that's a very healthy environment to hav	合作非常畅快，我能对他说他哪些地方需要改进，他会立马付诸行动，我觉得这个环境是十分健康的。
Okay, people are saying, hey karrigan we need the kiss, we need a glare, we need a little heart. You know, the things that you do with the camera -yeah sure I can do tha	好了，大家都在说，大表哥亲我，大表哥瞪我，大表哥比个心。你经常对镜头做的动作。-可以 没问题
So whenever you're ready, everybody's asking for a kiss, for a glare, or whatever, anything you’re comfortable wit	大家就等着你的亲亲，爱的注视了，其实啥都行，你觉得可以做的
Let's do this	来吧
Thank you lo	谢谢 哈哈哈哈
Let me just get in on the heart, because I know that we're all doing this in front of our screen right now. This is great. So much love, and you are just such a character. I feel just so inspired by this interview	比心我也加入一下，我知道我们都在屏幕前比心呢。这很棒。都是爱，你真是个特别的人。这个采访我真的受益匪浅
There's so many things that you said that I think that I can take away and use in my daily life	你说的很多事我都可以吸纳并运用到我的生活中
We're about the same age. I've done a lot of different types of work. And now I'm trying to be a good streamer, a good content creator. And there are things that… I'm setting goals, I'm taking the step	我们年纪相仿。我做过很多不一样的工作。我现在正在努力做一个优秀的主播和up主。我也在设定目标，在一步一步地走
and I'm doing those, so thank you. Thank you so much	我也都在去做 所以非常非常感谢你
Thank you for bringing me on here I think it was great, too. You know that's the thing, right? Some idols inspired me. And I've also like, if they can inspire me, I can inspire others	谢谢你邀请我来，我也觉得这次采访很棒。就应该是这样的。我的偶像们激励着我，如果他们能激励我，那我也能激励其他人
it's a privilege that people follow me enough, fans of what I'm doing because literally I'm just playing video games, right? We all know 20 years ago, I played video games, you couldn't tell anyone	我就是单单打个游戏就能有那么多追随我的粉丝，这是我的荣幸。不像二十年前，你玩个游戏都不好意思告诉别人
Now it's a dream job for many people who want to be where I'm at today, right? So, thank you for bringing me on and listening to me	现在这变成一份很多人梦寐以求的工作了。很多人都想站到我这个位置。所以谢谢你给我这个机会，聆听我的想法。
So now let me ask you again, why Counter-Strike? What makes Counter-Strike so special	现在，我再问你一次，为什么选择了CS，它为什么如此特别？
Now, I think the adrenaline was why I started this, running around shooting, then it became strategic, like you can improve, you can do so many small thing	我觉得一开始是肾上腺素（激情）给了我动力， 在游戏里打打杀杀，后来就到战略层面上了。你是可以从中进步的，很多很多的细节
There's something I think about when I'm making new tactics now for the next season. Like, why I never thought about this, you know, because, there's a scenario where people would do a good strat or a tactic you know, okay, how do we adapt to this tactic	我正在为下一个赛季设计一些新的战术。我就会觉得，我为什么从来没想到过这点，当对面采取了一个很好的战略或战术的时候，我就在想我们应该如何应对
So my mind is constantly thinking if it's morning, evening, midday, how do I fix this? Can I fix this flash? I can spend 30 minutes finding a flash and not even using it because in the end it was not good enough. You know	我一直在思考，早上，晚上，中午，我怎么解决这个问题？我可以改进这个闪光吗？我会花三十分钟寻找一个完美的闪光，但最后直接弃用，因为它不够好
I think that's the thing about Counter-Strike that I love the most. It never stops. Counter-Strike is living and it's changing all the time	我觉得这就是我最喜欢CS的地方了 CS从不停歇 CS是有生命的 它一直在变化
And we see NaVi now, why are they the best team? Everybody's watching Navi demos. All in-game leaders are watching Navi demos. What are they doing since they can win so much? Right	为什么现在的NaVi是世界上最好的队伍呢。每个人，包括所有的指挥都在看他们的录像，试图从中发现他们成功的奥秘。
And I love that. You’re like this is the team you want to beat. This is the team. How do we beat them? What do they do good? Can we copy some of that? Can we do it even better	我喜欢这一点。这是你想要击败的对手，就是这个队，我们怎么击败他们？他们哪里做的好？我们可以借鉴过来吗？我们可以做得更好吗？
And I just love it like that's why I love CS like it's not only about shooting. It's a small part of it, a big part sometimes you can't kill but I think Counter-Strike is a lifestyle, is a passion. It's being on the stage and being in the zone, in a cage where you fight the other tea	这就是为什么我热爱CS 枪法只是其中的一小部分，有时你打不死人就变成很大一部分了，但是对于我来说CS是一种生活方式，是一种热爱，是在舞台上，是专心致志在笼子里与对面厮杀
so yeah, passion, never stop thinking about it. Counter-Strike breathes. That's my point of view	热爱，从不停止思考，CS会呼吸，这就是我的想法
Amazing. Thank you so much. All right. Everybody say thank you karrigan, bye karrigan	太棒了，太感谢你了。好的大家说谢谢大表哥，拜拜大表哥
How do you say thank you?	谢谢中文咋说?
Wow your Chinese pronunciation is very good. -My fiancee loves Shanghai. So I’m preparing to get to Shanghai soon	你发音不错嘛 - 我未婚妻很喜欢上海，所以我们可能不久后会来上海
That'd be amazing. Let us know when you get here. And hopefully, you know, next year when COVID dies down, there'll be Funspark, IEM Beijing. Hey, maybe I'll be like an interviewer there. I don't know. We'll see	那太好了。你到上海请务必告知我们。到了明年，疫情有望结束的时候，这边就能有Funspark，IEM 北京的比赛了。说不定到时候我会主持做采访工作呢，让我们拭目以待吧。
Come say hello, then. -Yeah. Well, thank you so much. I'm gonna let you go. I know that you're a very busy man. And please thank Stefan for coordinating -I will. -He's been just super patient with me and just thank you guys. Thank you so much	到时候来打招呼。-非常感谢你，我不再耽误你了，我知道你很忙。同时也请谢谢Stefan做的协调工作。-我会的。 -他对我十分有耐心，非常感谢
