How's the sound quality and everything	音质什么的怎么样
I'm just happy to have played with both in my career already	我很高兴在我的职业生涯和两个人都合作过
So are you still in touch with your old Liquid teammates	你和之前Liquid的队友们还保持联系吗
Yeah, I still, whenever I see them at events, I usually talk to them. During Blast, I talked to EliGE a decent amount. We're still a good friends	是的 在赛事看到他们时我一般都会去聊天 在BLAST的时候 我跟EliGE聊了很多 我们仍然是好朋友
I still probably talk to nitr0 the most. Even when he was in Valorant, we’d still like chat or try to play games. It's nice to have that relationship that carries on past the past your era as teammates	Nitr0估计仍然是我联系最多的那一个 即便当他在打瓦罗兰特的时候 我们仍然一起聊天 打游戏什么的 这种关系在不做队友了之后还能持续就非常好
Cause I feel like when you accomplish so much together and then you don't talk afterwards it’s kinda sad, like did you really build anything up from that history	因为如果你们一起成就了那么多 之后却不联系 就很悲哀 这段时间里你们到底建立了什么 
But who knows? Maybe one day I’ll get to play with them again in a competitive environment	谁知道呢 也许有一天我能又能跟他们一起竞技
What are your thoughts on nitr0 coming back to CS? And do you think that there's a resurgence to NACS	你对nitr0回归CS怎么看 你觉得NACS在复兴吗
I think I'm pretty happy that he's coming back and that he left Valorant. And I think he's kind of making other players that left cs for Valorant reconsider their option to	我很高兴他能回来 离开瓦罗兰特 我觉得这让一些离开CS去瓦的选手重新考虑他们的选择
and probably starting to think that maybe going back to cs is like the better play given all the LANs that will happen next year	去想也许回归cs是更好的选择 因为明年会有很多线下赛
If that happens, I can definitely see a resurgence in NACS. But until more players come back, like autimatic and stuff, I think it will be hard for NA to rebuild fully	如果这样的话我觉得NACS肯定能复兴 不过直到autimatic等等选手回归之前 NA想完全重建会比较困难
But as of right now, I think the rumored Liquid team looks pretty strong. And I’m happy that the NA scene and will have like a staple team to look forward to again	现在的话 传言的Liquid阵容感觉挺强的 我很高兴NA能又有一支值得期待的旗舰队伍
So you recently switched to the g pro wireless. What are your thoughts on it	你最近开始用GPW2 感想是什么
Yeah, obviously I’m Steelseries ambassador, so I work with them closely on their products. I was just having some small issues, the mouse I was using. And obviously I’ve relayed the feedback to them and stuff	我是赛睿大使 我与他们紧密合作设计产品 之前我用的赛睿鼠标有些小问题 我都反馈给他们了
And we're working on making a better product. But in terms of the other mice that I switched to, I think they're very well and it's nice for me to get to use them too	我们在合作研发更好的产品 我使用的其他鼠标都很不错 有机会用它们也很好
Because then when I go back I could help Steelseries create a better product. That’s because I have the experience of using the newer mice that have come out. I have nothing negative to say about the recent mice I've used	因为当我回归赛睿鼠标时我就能帮助赛睿研制更好的产品 以我使用其他更新的鼠标产品的经验 我对最近用的其他鼠标都没什么意见
So Mr. Director, who is the player that you look up to the most	总监先生你最敬仰的选手是谁
It’s hard to say, but right now I feel like I don't really have a player that I look up to anymore because I feel like I’m past that point, whereas before, I could look up the players like f0rest and stuf	很难说 现在我并没有一个敬仰的选手 我感觉我已经过了那个阶段了 之前我能敬仰f0rest这样的选手
You know the legends at the time, like Olof back in 2015, but I feel like I’m far past that point where I don't have to look up the players anymore. I want to make players look up to me. That's kind of the goal now	当时的传奇选手们 比如15年的Olof 不过我觉得我早就过了那个阶段了 我不需要敬仰其他选手 我想让选手们敬仰我 这就是我现在的目标
So what do you see yourself becoming? Where do you think that you're gonna go eventually	那你觉得你自己会成为什么样的选手 能达到什么样的高度
I feel like on the current trajectory for me, as long as I’m still working as hard as I did the entire year, and once we stabilize a bit on our current roster, then I’ll start to feel way more consistent	我觉得对于我目前的轨迹来说 只要我能保持今年一整年这样努力训练 我们的阵容一旦稳定下来 我也会感觉稳定很多
As of right now, I feel like I’m a pretty consistent player, especially on LAN, and it's all about our team getting better because that's when stars can really shine	目前我觉得我是一个发挥比较稳定的选手 尤其是在线下赛 很重要的是我们全队都能提高 这样明星选手才能真正的发光发热
If you look at NAVI right now, s1mple is putting up insane performances, but that's because he has a way stable team	你看NAVI现在 s1mple有着逆天的发挥 这是因为他的队伍很稳定
He can consistently do that now because of how stable his team is -And doesn't have to worry about anything else, just go out and fra	他这样发挥得益于他队伍的稳定 -他不需要管其他的 就去拿人头就好了
Yeah, exactly. There's always a game plan and he trusts his teammates, whereas back in the past, he didn't really trust his teammates anymore	没错 他们总是有制胜战术 他相信队友 而之前他就没有很相信队友
And I think that goes for like every team that had an era. They had really good cohesion. If you look at Astralis, device was shining and players were shining because they believed in the system and that teamwork was good	我觉得每一个有过王朝/时代的队伍都是这样 他们很有凝聚力 你看Astralis那时候 device发光发热 其他队员也是 因为他们相信自己的体系 配合也很好
And it's no different for us like in 2019 Liquid, when we had three players in the top ten. And that's just because of our teamwork. And we have full belief in the system	我们2019年的Liquid也是这样 我们有3名选手在top 10 这得益于我们的团队配合 还有我们完全信任我们的体系
So we just need to find that in Faze and stabilize and find consistency	所以我们要找到Faze的体系 稳住 然后寻求稳定的发挥
Yeah, I think it stems from Faze’s 2018 lineup where just everybody was a superstar. So everybody was like a galactic player	是来自于Faze 2018年的阵容 每名选手都是超级巨星 每个人都是宇宙级别的选手
But that name just carried through and now we still call you guys that and Faze is just so popular in China	然后那个名字就一直沿用下来 我们现在仍然叫Faze银河战舰 Faze在中国人气简直太高了
And so is everybody, and you, and it’s just so crazy man. And hopefully when covid dies down and there will be matches in China, you guys can come here. That would be really cool	每名选手都是 还有你 简直太疯狂了 希望疫情结束后中国能有线下赛 然后你们能过来 这样就太好了
That's really awesome to hear. There’s supposed to be an event in China, Funspark, -yeah IEM Winter, Funspark too. IEM Winter is a year from now. Hopefully everything's gonna get taken care of	能听到这个很高兴 Funspark应该会在中国 -对 IEM Winter 还有Funspark IEM Winter 还有一年的时间 希望到时候一切都会解决
Yeah I just wish there's like more freedom to Esports players. We could just like travel wherever and be let in despite the restrictions	是的 我希望电竞选手能有更多的出行自由 还能去各地比赛
Have you played against any of the TYLOO players right now	你和天禄现在的队员们交手过吗
We played against two teams in practice. We scrimmed twice against TYLOO, I think before Blast	我们和两支队伍打过训练赛 Blast之前和天禄打过两次训练赛
And then we also played against Lynn Vision, when they were first here for Blast Showdown. Both teams have players that can shoot really hard, 	还有LVG 他们来打Blast Showdown的时候 两个队都有枪法非常硬的队员
and you have the bomb on the awper, and then you have the lurker, say like, three players are like attacking A, then you have one player at b trying to go find the one player holding the sit	狙击手带包 然后你有自由人 比如说3个人打A 然后b有一个人试着打掉那个独自守包点的人
and if he gets that kill, then you just go back to the site where you got the kill. That's like the current meta right now and feel like it's hard for the Asian teams and the NA teams come over and have to play against it	如果打掉了 你们就回去那个包点 目前的常规打法就是这样 我觉得亚洲和北美队伍过来打会比较困难
Hopefully they can stay in Europe. They can bootcamp in Europe and then get better	希望他们能留在欧洲 在欧洲训练营然后提高
I think they're still here, right? -I think so. -I don't think they left. That's good	他们现在还在欧洲对吧 -我觉得是的 -他们应该还没走 那很好
It's good. They finished the matches, but they can always play more scrims	很好 他们比赛都打完了 但是训练赛可以一直打下去
Yeah, exactly. As long as there's an event going on, there's always gonna be scrims to find	是的 没错 只要有赛事的话 就能找到训练赛
I know you're very busy guy. I know that even though right now you're on a break. Our very last segment, just let me read some messages that some of your diehard fans want to send to you. Is that okay? -oka	我知道你非常忙 虽然现在在休假 我们最后的环节 我给你读一些你铁粉想对你说的话 可以吗 -可以
So Mr. Director, I’ve been a fan of you for 2 or 3 years. I'm already working, but whenever you play a match I would stay up and watch it	总监 我粉你两三年了 我已经工作了 但是只要你有比赛我就会熬夜看比赛
And there's a lot of hardship in life, but when I watch you, it’s not that hard anymore. So hopefully you can just keep fragging and we're always gonna support you	现在生活很难 但我只要看你比赛 一切就没有那么难了 所以希望你能接着大杀四方 我们会一直支持你
That's really wholesome, that message, staying up to watch the games	这太暖心了 这条信息 熬夜看比赛
So Mr. Director, please make sure that you get a lot of rest every day, just make sure that you take care of your body, your health, because health is the number 1 thing	总监 每天一定要好好休息 照顾好自己的身体 健康是第一位的
Nice. I support that one a lot. That's a good message	我十分同意 这很好
So Mr. Director, although NAVI is number one right now, we still support you guys fully, everybody on your team. And do you think that a major championship is on the cards	总监 虽然NAVI现在是第一 但我们还是完全支持你们 你们的每一个人 你觉得能拿Major冠军吗
For next year? I definitely think that Faze will be able to win events. And the goal is, at least a personal goal is to win an event in the first 4 months of next year	明年吗 我觉得Faze一定能去赢赛事 目标是 起码我个人的目标 是明年前4个月赢下一个赛事
And then, yeah, either if that's a Major, or if it's some small events, it still counts as a win in my heart. And I think a Major win is on the cards. Sure	不管是Major还是小一点的赛事 对于我来说都是胜利 我觉得Major冠军一定在计划内
This one's really heavy. So Mr. Director, you are my favorite player. And I used to be someone like you who didn't have a lot of confidence	这条挺沉重的 总监 你是我最喜欢的选手 我之前也像你一样
I tried to find meaning of life in video games. After I found you, I felt like you were someone that I just knew across the ocean. We have so many similarities	我试着在游戏中找到生活的意义 在我找到你之后 我感觉虽然你在大洋彼岸 但是我认识你很久了 我们有很多的共同点
I like how you're so shy, but you like to laugh a lot. But I’m so glad to see that you're able to find a team that you can call home. And I’m always gonna support you. Wow	我喜欢你很腼腆但又很喜欢笑 我特别高兴你能找到一个像家一样的队伍 我会一直支持你的 哇
That's a really deep message	这条很沉重
Because you’ve come such a long way, I know that there's a documentary on you on Youtube. I know that you've come such a long way	因为你经历了太多太多 我知道油管上有一个关于你的纪录片
5 years ago, I would never predict that I'm playing for Faze Clan in an international team, living in Europe. I could have never predicted that 	5年前我不可能想得到我会为国际纵队Faze效力 在欧洲生活 我不可能预料得到
I couldn't predict the 2019 Liquid era, but looking back you kno	现在回头看看 我也没法预料2019年Liquid王朝
But you were able to find so much personal growth along the way like you were able to mature so much as a person	你在这过程中获得了大量个人成长 也成熟了很多
Yeah, I think that comes from the work though, I guess. Because when you're traveling, you're constantly in different cultures, and you have to find a certain level of independence where you can function	是的 我觉得这是因为我的工作性质 当你一直出行在不同文化中 你需要找到一种独立才能
You create a routine for yourself that works. But I feel like my maturing was helped by my ex-teammates and by my current teammates	为自己建立一套有效的日常计划 我觉得我之前和现在的队友们都帮助了我的成长
And I feel like I'm always trying to work every day to grow into a better person than I was yesterday	我觉得我每天都在努力成为比昨天更好的人
Russ, I said this to f0rest when I interviewed him a few months ago, and I think what I said to him more than applies to you	Russ 我前几个月采访f0rest的时候对他说过一些话 我觉得这些话也完全适用你
I think players like you don't even know how many people you've touched, how many people you've inspired around the world	你可能都不知道你在全世界究竟鼓舞了 激励了多少人
I'm sure that there's many Brazilian kids, Indian players that you've inspired, but there's so many of these Chinese fans of mine and of yours	你肯定也激励了很多比如巴西的孩子们 印度的选手们 但你有这么多的中国粉丝
I see them every day and they come up to me. They say to me Twistzz is such an inspiration, we love Twistzz	我每天能看到他们 他们跟我说Twistzz激励了他们 很喜欢Twistzz
But yeah. I just hope that you can know that in your heart that you've inspired millions of people to get better at the game, to improve as a person to find confidence, all these things	我就是希望你心里能知道 你激励了成千上万的人 去提高游戏水平 去做一个更好的人 去找到自信心 等等等等
That's a very needed reminder, because the players are so focused on keeping their team up, keeping themselves up and working. They forget. There's a whole another level going on behind the scenes	我很需要这样的提醒 选手们太专注于努力保持队伍的竞技水平 自身的竞技水平 他们会忘了在幕后还有更深的意义
and in the world where they're inspiring people. And it's nice for you to remind me that's going on	他们激励了这世界很多人 你能提醒我这件事就很好
I read messages on my Instagram, message requests, and I guess I see a couple, but I don't really think about how much there really is, how it builds up over time, I lose track of how many	我在Ins上会看留言 我能看到一些 但我并没有想过到底积累了多少人 
And yeah, it's like I said, it's humbling	是的 就像我说的 我受宠若惊
Players like you, you grew up in adversity, there's a lot of hardship, but then you were able to find yourself. And I just think there's so much to be inspired about that. -thank yo	像你这样的选手 你在逆境和困难中成长 然后你找到了自己 我觉得这太激励人了 -谢谢你
We're just so glad that you are what you are right now	我们非常欣慰你成为了现在的样子
Thank you. I'm happy to be here. I'm happy to be getting interviewed by you man	谢谢你 我很高兴能在这里 很高兴你能采访我兄弟
So one last message, Mr. Director, I used to watch every single match that you play, but now school is very hard, so I only watch your highlights,	最后一条留言 总监 我之前会看你的每一场比赛 但现在课业很重 所以我只能看你的集锦了
but I really really like you and I feel so bad when you lose. And I just hope that you can be happy forever	但我非常非常喜欢你 你输的时候我好难过 我希望你能一直开心下去
That's a really kind message. It's already crazy to hear that people are trying to never miss a match. They're always trying to keep up	很善良的一条留言 我总是觉得很难以置信 粉丝们能一场不落地看比赛
For sure like it goes for most pro players too, but it's a very wholesome feeling to know that the fans are always trying to be there every step of the way to support. And every player needs that -Awesome	我相信大多数职业选手都这么想 是个很暖心的感觉 粉丝们无时无刻的支持 每个选手都需要这个 -太棒了
Yeah there’s a lot going on. -So much love man, so much love man. -It's, very special dude. Thank you guys	哇 太多了 -有很多的爱 很多的爱 -真太特别了 谢谢你们
Just know that there's hundreds of thousands, millions of people here rooting for you, watching your matches, keeping up with you	希望你知道在这里有成千上万的人支持你 看你的比赛 追随你
Can you make a heart for your fans? -make a heart? Try to make a better one here	你能给粉丝们比个心吗 -比个心吗 我试着比个更好的
Thank you, guys -That's so cool	谢谢你们 -太酷了
Thank you guys. I'm Zong Jian. -Thank you so much, man. -No worries. Thank you. -All right man. See you. -Bye. Thank you for the interview. -take it easy man	谢谢你们 我是总监 -非常感谢你 -没问题 也谢谢你 -好的 再见 -再见 谢谢你的采访
Hello - Hey, Finn, how are you? -Good. Can you hear me	你好 -hey 表哥，怎样啊 -不错啊，能听见吗
How's the the sound quality and video quality and everything? -It's good for m	音质啊，画质啊之类的怎么样啊 -我看着行
-Am I laggy at all or? -No, not at all -All right. All right. Really nice to see you, man. Hold on one second. Let me show you, you see this	我这有延迟吗？ -没，一点也没 -那行，好的，见到你很高兴。等下哈，给你看个东西，看到了吗？
So it's live for what? Oh, yeah. Yeah. -Oh insane, a lot of fans. -I think Faze is just hands down one of the most popular organizations around the world, and especially in Chin	嚯，这是直播吗？-当然 -太夸张了，这么多粉丝吗 -我得说faze就是世界上最受欢迎的战队之一了，尤其是在中国
I actually just interviewed Russell a few days ago. -oh! -And now I’m interviewing you so it's been a good couple of days for us Faze fans. -Good for yo	我前几天还在采访总监来着 -哦真的吗 -现在轮到你了，这几天对faze粉来说简直过年了 -那你很棒哦
Our first question, I don't want you to answer right away, I want you to keep it in the back of your head. And I'm going to ask you again at the end of this -Alrigh	我们的第一个问题，你不用立刻回答，我想让你在脑子里酝酿酝酿，采访的最后我会再问你一次 -好嘞
So why Counter Strike? What makes Counter Strike so special? Alright, -that’s a good question -so our first official question, so how do you make sure that teammates from different cultures get along and that your team chemistry is so good	所以 你为什么选择CS CS为什么如此特别？ -好问题 -那么我们的第一个正式问题来了哈，你是怎么确保来自不同文化背景的队员相处融洽，能够让队伍内的化学反应如此微妙的
The thing in the international team, it's really important to take people who they are from where they're from in the world, understand what culture they're at, their work ethic, there's a lot of different things	国际纵队的团队建设，重点就在于要保留队员在各自的独特属性，了解他们所处的文化风气，工作态度，这其中的差异可多了
But I think the most important thing is to create a team environment, common goal, because I've realized during my career that once you have a common goal, everything else doesn't matter, right	但我觉得最重要的还是要去建立一个有共同目标的队伍环境，因为在我多年的职业生涯中我意识到，一旦你有了一个共同奋斗的目标，其他的事那还叫事吗，你说是不
If the person wants to become the best, he has his own work ethic. And I'm not gonna tell someone from another culture where maybe they're a little more lazy. But in the end, if they want to become the best, they have to figure out their own way to become the best right	如果有人想成为top，他要有自己的工作态度。而我就不会对一个不了解相关文化的人说，你这好像有点开摆啊。但是最终，要是他们想成为top，这条道还是得他们自己一步一步去摸索，是不是
For me, it's most important as a leader, as a team leader, to create an environment where everyone can be themselves. But we all work on the same page, right, we need to be on the same page	对我来说，我背负着领导位的职责，要为大家建立一个大家都能去做自己的环境。要保证大家是一条心，我们要步调一致一起努力。
So it's like the most word I've used in my whole career, being on the same page. If it's inside, around, outside the game, before game after game, my main thing is, we have to acknowledge everybody’s from different parts of the world,	这可能是我职业生涯中说的最多的话了，步调一致。无论在内还是在外，游戏里还是训练中，我的基准点就是，我们要接受大家来自世界各地，
different views on how you want to play the game, how you ask the player, but it's my main goal to try to connect those pieces. So creating an environment around that where everybody's free to be themselves can speak off their heart	有对游戏的各种各样的理解，对队员多种多样的要求，但我的主要职责就是去拼凑这些零零散散的部件。所以有一个大家可以敞开心扉互诉衷肠的环境就显得尤为重要。
And some people are better to speak in groups, but some people need to take one on one talks with, to take them aside and talk with them. So yeah, I think it's normal human thing, right	有些人天生就大大方方不怯场，有些人就需要点私密空间，得带到一边单聊。这就是个很正常的个体差异。
When you have a big conversation in normal work, you have to take in consideration people come in different parts of the world, but they also bring different part to your game to your organization	当你进行一个正常的工作交流时，你要考虑大家都是从不同地方来的，大家都把各自的游戏风格带到了战队里
So all in all, it is something you sacrifice, but you also kind of stay on the same page. That's it. That's the most common word me and RobbaN uses	所以总而言之，你要牺牲一点，但还是要切记保持一条心。就是这样，我和robban经常把这个词挂在嘴边。
Well, I think you've done a fantastic job creating that positive environment and we can all see, you know, we're all very up to date with your vlogs	平心而论，我觉得你在创造积极环境方面颇有建树，这我们都能看得出来，你知道吗，你的新vlog我们都会看。
Yeah you know, we all started playing CSGO to have fun right? Sometimes you forget that in a high pressure environment at tournaments. So you see that on camera sometimes when I have the camera it's not somewhere else is actually the fun we have in the team	那当然，我们玩cs都是为了乐趣是吧。遗憾的是有时在高压下你就逐渐忘了，你们有时也在镜头里也能看见，我们队内的快乐很纯粹。
And that's internal jokes, which is hard to show sometimes but I'm trying to do my best to kind of show the environment we have outside the game but also inside the game when I release the voice comms righ	讲的都是些都是内部笑话，这些有时候就不太好对外展示，但我还是尽我所能，通过队内语音啊这些视频，展现游戏内外的队内氛围，
amazing, amazing and again, any of these questions if you feel uncomfortable, or if you don't have a good answer, we'll just skip because we have a bunch of these questions lined up. -haha sur	神奇啊，对了，如果有任何问题你觉得不便回答，或者你没有一个太好的答案，我们就跳过，因为我们的问题那可多了去了。--哈哈，好好
So do you think Faze will be your last stop as a professional player and when you retire, would you consider being a coach	那么你觉得faze会是你职业生涯的最后一站吗，还有当你退役后，你会考虑做一名教练吗？
That's a good question right when I joined Faze I actually thought that would be my last org but you know things go down as it is. Obviously I love FaZe Clan, I love how they work that I love their view of how they are,	这是个好问题，其实当我加入faze时我就曾经想过这会是我最后一个战队，但是你知道，这种事只能顺其自然。很明显我对faze clan是真爱，我欣赏他们的工作，也欣赏他们对自己的评价与剖析
what kind of position they are in the eSports community the fans they have are crazy right? As you see a lot of Chinese fans as well, even though I don't feel that since we don't have many tournaments there	他们在电竞领域是出于一个什么咖位呢，他们的粉丝数那可是无法估量啊？你也看见了，这里就有好多好多中国粉丝，即使我们这里没啥大赛平时感觉不出来。
But I think for me, I will never say never. I wish this is my home you know, that's why I came back to FaZe Clan not because of exactly the players because we have good players with mousesports but FaZe Clan feels like a home for m	但对我来说吧，我不能把话说死了，我希望faze是我的家。这就是为什么我会回到faze clan，不是因为有那些天价选手，我在mouzsport时候也有好的选手，但是只有faze clan给了我家的感觉。
and I appreciate what they've done all my career and the trust they put in me. So unless something goes down again, then obviously I will not end my career in Faze. But as I see, like the perspective I have on my future is like everything's in my own hand	我很感激他们在我职业生涯中所做的一切，也很感激他们对我付出的信任。所以除非又出什么事件，那我就没法在faze退役了。但依我看，我对未来的展望基本都在我的控制范围内。
and I feel that's also the terms I have in Faze. Once I don't want to play they will accept that. But whatever I'm gonna do, I have no idea after. One of the only things, consideration I did was I’ll try out to be a coach, because I have a feelin	这也是Faze接受的条件，一旦我没有了继续的打算他们也会接受的。但是至于我会选择哪条路，其实我没个准。我可以试试当教练，因为我的感觉是
I've played competitive for 20 years now, hanging up my mouse and being a coach that's completely different step and perspective. And I think once I want to try out that I need to have a really clear mindset about I cannot play anymore. You know	我已经打了20年职业了，放下我的鼠标做个教练是个全新的角度。所以一旦我想试试一条道，我就必须得有一个很清楚的定位，那就是我已经不能打职业了，你懂吗
If I feel I can still be in the best teams to be one of the best in game leaders, I cannot stop myself from not playing right. So yeah, what the future holds, I don't know, I just know that I feel I get better every day	如果我觉得我还能够在一线队伍里做一个一线指挥，那我就不能阻止我自己发光发热。所以呢，未来会发生什么，我不知道，我只知道我每一天都在进步。
And I also feel my individual level at end of this year has been better than it was in the beginning of year. So working hard, and I never know when I'm done	For me, when I wake up, if I'm motivated to become the best team in the world. Doesn't matter how old I am, to be honest	而且我还觉得到了年末时我的个人实力水平比起我年初时要好。所以我只管努力，从不告诉自己哪里是尽头。	对我来说，每当我醒来，只要我还有那股要成为最好的队伍的志气在，那么年龄就不是个问题。
Yeah, you'll know when you know, -exactly like the most important thing I learned from Kobe was he wants to step away on his own terms from the game. And that's the same for me, I want to step away from the game on my own terms,	是啊，时候到的时候你会知道的  - 就是这样，比如我从Kobe身上学到的最重要的就是他想要以自己的方式离开赛场。对我来说也是一样的，我要用我自己的方式离开赛场。
if that means something is in front of me making it hard not to continue, I do everything I can to make sure I step down when I want to step down	如果这意味着在我面前有困难让我几乎不能前进了，我会竭尽全力保证只有当我想退出时才会退出。
And not when somebody in the community tells me I'm done, because that's the best part. When they tell me I'm done. I will get more fired up	而不是网上某个人跟我说我不行了，因为这就是我最喜欢的点，当别人说我不行了，我反而更加斗志昂扬。
Can you give us a quick overview of Faze’s daily training routine	能给我们说说大致的faze的训练日常吗
we meet 1130. We have one and a half hours, where we go through mistakes on practice today before we go through new setups, what we need to improve on what we need to focus on during the practice, right	我们会在11：30碰头。花上个一个半小时，在研究新套路前回顾总结我们训练的失误，要提高的点，要着重训练的点
So sometimes we will have three(?) maps of practice on Nuke, so our main focus will be Nuke in that one a half hours and what mistakes have we done on nuke and what can we improve on	所以有时我们会选几个地图专项训练 比如在nuke上，那我们就花一个半小时只集中在nuke这张地图上，看看我们犯了那些错误，有那些地方可以提升
So yeah, one and a half hours on recrafting(?reflecting) mistakes and talking about that. And then we have to practice like two scrims one hour break and then three scrims and then we're done	所以，一个半小时来回顾讨论错误。然后打两场约战，休息一个小时，再来三场约战，然后就结束了
So looking at that, like what was that like seven half hours practice every day, or six and a half, seven hours, right. That also leaves time for people to play individually	那么这样看下来，每天至少要一起练个7半小时左右，或者6个半小时，7个小时的也有。这样也给大家留下时间做个人提升。
Also to have a private life because when we are tournament, there is no private life it's full force on a tournament s	当然还得有点私生活，因为一旦开赛了，那就毫无个人空间可言了，那就是全身心的只为比赛了。
but sometimes we change it up sometimes we have two hours to three hours for recrafting, if we are starting a new season. Like for example in general we will start a new season we have to improve a lot, make a little new stuff. So we have a lot of more time there than then practice in itself	当然有时候也会调剂一下，有时会花2到3小时来反思，尤其是新赛季开始的时候。就比如一般来说开新赛季了，我们要提高很多，整点新花样。所以我们在这理论方面花的时间会比实战要多。
So when there are star players on the other side, we're talking s1mple Zywoo or dev1ce, or XANTARES if you’re playing FPL or whatever. Do you adjust your own playstyle	那么当对面有还能多明星选手时，比如simple，zywoo，device或者打FPL碰到xantares，你会调整你的打法风格嘛？
I think it's hard to say right? I think when you're one of the greatest players in the world like s1mple and zywoo it's very hard to get a tell on you. The reason why you're one of the best players in the world is because you're one step ahead	我觉得这个不好说，我觉得当你是像simple和zywoo那样的世界级明星选手，你的打法就非常不容易被看透。因为你之所以能成为最强的选手就是因为你总是先人一步。
So for me I have fought many times I remember like four years ago when I played s1mple I tried to anti-strat him and once we came to the game he didn't do anything what I prepared fo	对我来说，我对抗过很多次明星选手，我记得4年前，当我对阵simple时我尝试去反制他的战术，然后当我们进入游戏后才发现他的打法没有一个是我们准备过的。
so for me it's really important that I actually don't prepare hard against the star(?) of the team and I see where the weakness is, but you cannot shut down s1mple. If you're going to put him in position he's still gonna kill three guys sometimes you cannot stop that	对我来说，不要因为对面的所谓明星选手而限制自己的可能性是很重要的，要善于发现对方的弱点。你无法完全限制s1mple，有时不管你做什么，他都打掉三个，你根本拦不住
That's how good he is so you just have to have that in mind that you want to figure out where he is because many watch the demos when s1mple takes a shot somewhere he moves really fast right	他就是这么厉害，所以你心里要明白，搞清楚他在那里，因为大家看过demo的都知道simple打完一枪后他会很快的换位置
So he knows that when you see s1mple you react on another side it's like a FPL against a good player or Faceit you against good player like go away from the guy who has 30 frags	所以他自己心知肚明，当你遇到了s1mple，你就会去打另外一边，就像是fpl和faceit上遇见对面有大爹一样，躲开那个已经杀了30个的人
You can't do that in pro CS because then you already lost the game. So for me like okay is there some peeks he likes to do? What can we do about it? What we really need to be aware of the tendencies with the players righ	但你打职业不能这么搞，不然就已经输了。像我的话，看看他喜欢peek什么点位，我们能如何应对，要注意他们有那些打法倾向
if you hit a bomb site two or three times I know s1mple wanna go there. He’s not going to keep playing retake on B Inferno so he wants to go b right	你要是打了同一个包点2 3次了，我就知道simple会想去那边。他就不会想把把打inferno的b区回防，而是选择直接去B。
So when it comes down to that you adapt on when is the right time you think s1mple is gonna switch it up	所以这种时候你就会顺应局势，把握解读simple什么时候会选择换地方
But it’s very hard to anti-strat a player you just have to anti-strat the team you have to find their weakness and not go to their strengths all the time	但其实要战术反制一个选手是很难的，你要做的是战术上克制对面整个队伍，去揭开暴露他们的弱点，而不是一直硬碰硬
So we got a bit of a fun question here, so how did you develop such a strong mental game and when was the last time you actually tilted	这是一个有趣的问题，你是如何锻炼出如此强大的心态的，你上次破防是在什么时候
And I realized that once I came to mouz, I had to be the figure. I had to be the real leader. I had to be really strong because if I went down with so young, inexperienced team, we will never get up	我刚到mouz时我也意识到了这一点，我必须以身作则。我要成为真正扛得住的领导者。我必须在心态上强健起来，因为如果我在那么年轻，经验较浅的队伍里心态失衡，那么我们永无出头之日。
And I think RobbaN told me that he has seen me over the years and in Faze I had to develop a really strong mental game. Plus, he could sometimes see on my body language, the way I acted that if it didn't go my view of the game, how I wanted to go, I could be frustrated, right	robban也对我说过，他看我在faze这么些年，也觉得我必须得锻炼出一个强大的心态。更何况，有些时候我的肢体语言就暴露了一切，要是局势不顺或者没按我要求打出来 我就会心态炸裂。
So I just think there was a specific situation in mouz where I was full tilt, and in EPL. We were playing Astralis in this run we had where we won EPL against Astralis and Fnatic	所以我回想了一下，在mouz时有一次我心态完全崩了，在打EPL时，我们对阵Astralis，当时我们势头正猛，在EPL赢了Astralis和Fnati
And I think at that moment, I realized how important I was to these young guys that I was there in the game, I was doing everything I could in my power and not frustrated	当时我就我意识到我对这些年轻人的重要性，我要在游戏内稳住，尽我所能不被情绪击垮。
And we ended up winning because we stayed strong mentally. So I developed that, also having a lovely fiancee, who is studying to become a sports psychologist gives me a lot of ideas how to handle stuf	然后我们最终赢下比赛，因为我们稳住了心态。所以我就悟到了，还有个非常好的未婚妻，她在努力学习成为体育心理专家，她给了我很多建议如何去控制情绪。
but also find inspiration in Kobe and other big idols in my life. Right. So I think all in all, I have focused a lot on staying mentally ahead, because I think that could be one of my weaknesses, and I knew that I can improve o	当然也从kobe啊还有我的其他偶像中汲取灵感。所以总的来说，我在保持积极心态上花了不少功夫，因为我觉得这曾经是我的弱项之一，我也十分清楚我能在此提高
like there's always stuff you want to improve on. When you lose a game because you're mentally out of the game, then next day, I go to study why I was mentally out of the game? And how can I prevent that from happening	其实总会有你能提高的地方，当你因为因为心态问题输掉比赛，第二天，我就去反思为什么会心态崩盘，以及我怎么才能避免再次发生。
So with experience, I think everything comes together. And that's why I feel really mentally strong at this point,	那么有了相关经验之后，我认为一切就豁然开朗了，也是为什么我感觉我现在心态非常强大
and we have a follow up question to that. So which current pro player is the most likely to tilt	我们还有个相关的后续问题，那么目前那位职业哥最容易破防
I think it's very hard to say. Because there's different tilts, right? There is a player who would tilt on his teammates. And then there's players who will smash the table, but they're mad about themselves	我觉得整个不太好说，就是破防分为很多种，是吧。有人喜欢对队友发火，有人喜欢砸桌子但其实是对自己不满意
So that's why I never understood why people said niko was toxic because niko always tilted on itself. If he failed a shot, or if he did something, he would smash the table	所以我一直不明白为什么会有人说niko是压力怪，因为niko只是对自己发火，如果空枪或者什么，他就砸桌子
